"Categorie";"Champ spécifique";"Nom Web Service"
"Mobilier de Jardin, Saunas et SPAs";"Etat 2";"etat"
"Mobilier de Jardin, Saunas et SPAs";"Matiere";"matiere"
"Mobilier de Jardin, Saunas et SPAs";"Couleur";"couleur"
"Mobilier de Jardin, Saunas et SPAs";"Longueur";"longueur"
"Mobilier de Jardin, Saunas et SPAs";"Marque";"marque"
"Mobilier de Jardin, Saunas et SPAs";"Sous-type";"sous_type"
"Mobilier de Jardin, Saunas et SPAs";"Forme";"forme"
"Mobilier de Jardin, Saunas et SPAs";"Options";"options"
"Mobilier de Jardin, Saunas et SPAs";"Hauteur";"hauteur"
"Mobilier de Jardin, Saunas et SPAs";"Largeur";"largeur"
"Mobilier de Jardin, Saunas et SPAs";"Diametre (m)";"diametre"
"Mobilier de Jardin, Saunas et SPAs";"Nombre de chaises";"nombre_chaises"
"Mobilier de Jardin, Saunas et SPAs";"Nombre de places";"nombre_places"
"Mobilier de Jardin, Saunas et SPAs";"Type";"type_1"
"Mobilier de Jardin, Saunas et SPAs";"Installation";"installation"
"Mobilier de Jardin, Saunas et SPAs";"Nombre de jets";"nombre_jets"
"Mobilier de Jardin, Saunas et SPAs";"Type de cuisson";"type_cuisson"
"Mobilier de Jardin, Saunas et SPAs";"Type de support";"type_support"
"Mobilier de Jardin, Saunas et SPAs";"Grille de taille";"grille_taille"
